site,date,Clorofila a (laboratorio/campo),Clorofila de cianobacterias (FluoroProbe),Clorofila total (FluoroProbe),Biovolumen de cianobacterias (µm³/mL),% cianobacterias (biovolumen),lat,lon,embalse,punto,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,dias_desfase,NDCI,PCI,MCI,3BDA,B5-B4,Turbidez(B4),SABI,FAI,CI_cyano,B3/B4,B5/B3,NDVI,"Sombra 620 (B3,B4)"
sp19,2026-02-25,0.9993209999999999,0.6928125,0.8721875,0.0,0.0,42.983377942532,-2.6478397886712,URRUNAGA,URR-P2,0.02107878446820484,0.04368880135059089,0.058579516038266735,0.04790945413618459,0.04145256049521665,0.027403151378728192,0.02955036578503095,0.030791446257737765,0.028864040517726508,0.03670005627462015,1,-0.07225546187159287,0.8652271507286651,0.004479801163008808,-0.08909463604186957,-0.006456893640967937,0.04790945413618459,-0.1673832944112941,-0.015018469866280786,-0.004479801163008808,1.2227130760403169,0.7076289341164581,-0.21750714150366637,-0.0021065841305571084
sp19,2026-06-17,1.0654000000000001,0.525,1.2331818181818182,,,42.983377942532,-2.6478397886712,URRUNAGA,URR-P2,0.031236240855374218,0.04467371975239167,0.04319442881260552,0.034594485087225665,0.03471575689364097,0.027274788970174452,0.029465278559369725,0.03201412492965672,0.029793697242543615,0.03990574001125492,1,0.0017496953256746577,1.003505524250745,0.004025109735509283,0.0027541509309972705,0.00012127180641530177,0.034594485087225665,-0.02936627435207904,-0.0035751666354029987,-0.004025109735509283,1.2485929102195386,0.803709132125618,-0.0387391383323408,-0.004360607765897577
sp19,2026-08-25,2.0801000000000003,0.9835,2.5475000000000003,,,42.983377942532,-2.6478397886712,URRUNAGA,URR-P2,0.024262296004501964,0.02945588069780529,0.03494530106921778,0.027781260551491275,0.028371581316826107,0.026898086662915027,0.025160213843556555,0.025763871693866063,0.026427462014631403,0.03607749015194147,3,0.01051274959011297,1.021248883370166,0.0010613468392421644,0.020145310196084586,0.000590320765334832,0.027781260551491275,-0.031325339105162595,-0.0035712858304079477,-0.0010613468392421644,1.2578731265432788,0.8118854452170607,-0.037676419368637026,-0.0038771806415306663
sp2,2025-04-09,0.9612000000000007,0.264,1.1122857142857143,51.31864285714286,3.5607463324312776,42.96069085180533,-2.6501586878592,URRUNAGA,URR-P1,0.012506880992667793,0.015405922165820646,0.02412605752961083,0.009901579244218837,0.005215341229554427,0.0,1.0716300056401579e-05,0.0,5.640157924421884e-07,0.006140721940214326,0,-0.3099995149669991,0.5267181225257042,0.0005946042489189691,-0.0,-0.00468623801466441,0.009901579244218837,-0.2504701085173105,-0.009197164701564023,-0.0005946042489189691,2.4365868246418505,0.21617047141471166,-1.0,-0.004769120135363791
sp2,2025-06-23,3.9602,,,1959.439090909091,39.736151951045066,42.96069085180533,-2.6501586878592,URRUNAGA,URR-P1,0.013290750141003947,0.018940947546531302,0.01875245346869712,0.013385786802030456,0.013751325437112239,0.01498183869148336,0.018671122391426962,0.0187727016356458,0.021426959954878734,0.021451156232374508,2,0.013470063869011383,1.0273079678085366,-0.000485689039293099,0.029751573444372684,0.0003655386350817826,0.013385786802030456,0.14291400320812092,0.0038762583371382033,0.000485689039293099,1.400922765769182,0.7333080687317471,0.16751144395531162,-0.002866102650874225
sp2,2025-09-15,5.2155,0.36800000000000005,0.881,21527.965404,90.19433139884893,42.96069085180533,-2.6501586878592,URRUNAGA,URR-P1,0.009961872532430907,0.014691539763113366,0.025108009024252677,0.0071225042301184425,0.004754371122391426,0.0019011280315848842,0.0016155668358714043,0.002481725888324873,0.002102594472645234,0.00697794698251551,1,-0.19939024679808337,0.667513976655422,0.0004166008648242149,-0.1329510218740814,-0.0023681331077270162,0.0071225042301184425,-0.11660379283663477,-0.004613702539861592,-0.0004166008648242149,3.5251658985445276,0.189356755360372,-0.48320149398354495,-0.0078086858432036095
sp2,2025-12-12,0.7749999999999999,0.23399999999999999,0.99,0.0,0.0,42.96069085180533,-2.6501586878592,URRUNAGA,URR-P1,0.025793513818386914,0.035609419063733785,0.032188042865200224,0.015860575296108292,0.013376593344613651,0.009960349689791315,0.010611336717428085,0.00872848279751833,0.009035138183869149,0.009775296108291032,1,-0.08495972992524715,0.8433863901453729,0.0006628050385410799,-0.11661611294782835,-0.0024839819514946414,0.015860575296108292,-0.10519704271622872,-0.005992310047538476,-0.0006628050385410799,2.0294372848567606,0.4155764735567573,-0.2900514721399015,-0.006921742808798644
sp2,2026-02-25,1.4165499999999998,0.8519444444444445,1.025,0.0,0.0,42.96069085180533,-2.6501586878592,URRUNAGA,URR-P1,0.011211957134799774,0.03320016920473773,0.0524696559503666,0.03347264523406655,0.024453243090806542,0.00873197969543147,0.008812915961646928,0.009190862944162437,0.008535871404399323,0.01168544839255499,1,-0.1557058925479978,0.7305440881594689,0.0041756194773453666,-0.0962196933252621,-0.00901940214326001,0.03347264523406655,-0.28343447936239163,-0.02020100573863687,-0.0041756194773453666,1.5675383759920465,0.46604542469152,-0.5691464046619357,-0.0049888042865200155
sp2,2026-06-17,4.2325,0.21846153846153846,2.0546153846153845,,,42.96069085180533,-2.6501586878592,URRUNAGA,URR-P1,0.020585391990975747,0.022511223914269598,0.021461195713479975,0.01027766497461929,0.009476762549351382,0.00530360970107163,0.006209757473209249,0.00525053581500282,0.004040496333897348,0.007178454596728709,1,-0.04054293268160099,0.9220735033448026,0.00185192705395751,-0.043611066699071964,-0.0008009024252679086,0.01027766497461929,-0.11432459714916418,-0.004446642136456013,-0.00185192705395751,2.088139257942191,0.44157663328138513,-0.3237418956468046,-0.005191314156796387
sp2,2026-08-25,3.0288999999999993,0.8173333333333334,2.9473333333333334,,,42.96069085180533,-2.6501586878592,URRUNAGA,URR-P1,0.014743654822335025,0.014059503666102651,0.01858578680203046,0.008245234066553864,0.006541567963902989,0.004714720812182742,0.004814438804286521,0.004497067117879301,0.0037716300056401574,0.00809187817258883,3,-0.11521531830491666,0.7933756532683941,0.00017927429968039063,-0.1489208876548809,-0.0017036661026508743,0.008245234066553864,-0.11481493639437386,-0.003719443146312858,-0.00017927429968039063,2.2541248255670783,0.3519661574503984,-0.2941514954342447,-0.004318443316412861
